Text_Type,Word,Duration
Short Text,people,9.52
Short Text,take,9.52
Short Text,think,9.52
Short Text,rule,9.52
long texts,stay,9.52
long texts,serious,9.52
long texts,follow,9.52
long texts,virus,9.52
long texts,mani,9.52
long texts,will,9.52
long texts,worry,8.35
long texts,job,8.35
long texts,long,8.35
long texts,also,8.35
long texts,economy,8.35
long texts,concern,8.35
long texts,impact,8.35
long texts,family,8.35
long texts,situation,8.35
long texts,feel,7.59
long texts,time,7.59
long texts,situation,7.59
long texts,relax,7.59
long texts,quit,7.59
long texts,moment,7.59
long texts,sad,7.59
long texts,think,7.59
long texts,like,7.59
long texts,also,7.59
long texts,feel ,6.87
long texts,will,6.87
long texts,anxious,6.87
long texts,know,6.87
long texts,also,6.87
long texts,family,6.87
long texts,worry,6.87
long texts,friend,6.87
long texts,like,6.87
long texts,sad,6.87
long texts,work,5.69
long texts,home,5.69
long texts,worry,5.69
long texts,family,5.69
long texts,able,5.69
long texts,time,5.69
long texts,miss,5.69
long texts,school,5.69
long texts,children,5.69
short texts,stay,10.7
short texts,home,10.7
short texts,safe,10.7
short texts,live,10.7
short texts,pleas,10.7
short texts,insid,10.7
short texts,save,10.7
short texts,protect,10.7
short texts,NHS,10.7
short texts,everyone,10.7
short texts,people,8.27
short texts,need,8.27
short texts,rule,8.27
short texts,don’t,8.27
short texts,stopselfish,8.27
short texts,social,8.27
short texts,die,8.27
short texts,distance,8.27
short texts,spread,8.27
short texts,get,7.96
short texts,can,7.96
short texts,just,7.96
short texts,back,7.96
short texts,wish,7.96
short texts,normal,7.96
short texts,listen,7.96
short texts,lockdwon,7.96
short texts,follow,7.96
short texts,sooner,7.96
short texts,family,7.34
short texts,anxious,7.34
short texts,worried,7.34
short texts,scared,7.34
short texts,friend,7.34
short texts,see,7.34
short texts,want,7.34
short texts,miss,7.34
short texts,concern,7.34
short texts,covid,7.34
short texts,feel,6.81
short texts,situation,6.81
short texts,current,6.81
short texts,anxious,6.81
short texts,frustrated,6.81
short texts,help,6.81
short texts,also,6.81
short texts,away,6.81
short texts,may,6.81
short texts,extremely,6.81
